LaiSuat,TyLeBaoBam,NhuCauVon,PhanKyTraLai,ThanhPhanKinhTe,MaLoaiThue,custtpcdnm,LoaiHinhVay,TrangThaiHoTroLaiSuat,NganhKinhTe,NhomNo,DH-GN
9.0,0,320000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Nông nghiệp,Nợ bình thường,2.0
9.0,0,140000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
8.2,100,800000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
8.2,100,1200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
9.0,0,160000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Nông nghiệp,Nợ bình thường,2.0
9.0,0,80000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
9.0,0,240000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Nông nghiệp,Nợ bình thường,2.0
8.2,0,400000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
8.2,100,400000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
9.0,0,400000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Nông nghiệp,Nợ bình thường,2.0
8.2,100,600000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
9.0,0,280000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
9.0,0,400000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Nông nghiệp,Nợ bình thường,2.0
8.2,100,800000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
10.2,100,800000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
8.2,0,40000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
8.2,100,320000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,0.9972602739726028
9.0,0,200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
8.2,0,320000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
9.0,0,200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
10.2,100,160000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
8.2,100,520000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
8.2,100,320000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
8.2,100,240000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
9.0,0,120000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
9.0,0,240000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
9.0,0,200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
8.2,0,80000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
8.2,100,1800000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
9.0,0,200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
8.2,100,1840000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
8.2,100,3600000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
10.2,100,800000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,3.0027397260273974
8.2,100,1000000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
0.0,0,120000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.15342465753424658
0.0,0,120000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.9506849315068493
0.0,0,120000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.2191780821917808
0.0,0,120000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.958904109589041
0.0,0,120000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.09863013698630137
